,title,salary,jobtype,location,description,company
788,Data Scientist,,,"San Jose, CA+1 location",Create the vision for data science solutions incorporating the latest techniques.Knowledge of cloud services (GCP /AWS ) and developing data science projects.,
789,Applied Research Scientist,,Remote,"San Francisco, CA 94104+1 location (Financial District area)•Remote","To ensure that teams are able to overlap in their working hours and to meet face-to-face when needed, all team members need to live within three hours of a hub.",
790,Mathematician,,,"Las Vegas, NV","The Mathematician job role involves evaluating mathematical models for electronic slot machines, casino table games, internet casino games and lotteries.",
791,Junior Data Scientist - Secret Clearance Required,,,"Tysons, VA","Data science methods related to data architecture, data munging, data and feature engineering, and predictive analytics.0–4 years of experience in the field.",
792,Data Science Manager,,,"Pleasanton, CA","You will work closely with other data scientists, engineers and partners across Marketing, Sales and R&D to derive insights from diverse data sources, help the…",
793,Data Analyst,,,"Washington, DC 20006 (Foggy Bottom area)","Experience with data analytics software including Python or R.Responsibilities includes analyzing large and complex data sets, including a thorough aptitude…",
794,"Software Engineer, Machine Learning - Infrastructure",,,"San Francisco, CA","Are analytical and data driven.You possess strong computer science fundamentals: data structures, algorithms, programming languages, distributed systems, and…",
795,Data Scientist-HomeKit,,,"Santa Clara Valley, CA 95014","Foundation in data science, machine learning, and analytics, including statistical data analysis and A/B testing.In this role you will:",
796,Civic Data Analyst,,,"Kirkwood, MO 63122+11 locations","1+ year(s) of experience manipulating data sets, visualizing data, building statistical models, and the general application of data science concepts and tools…",
797,Mathematician,,,"Las Vegas, NV 89119 (Paradise area)","Konami Gaming, Inc. entered the US gaming market in the 2000s and we’ve spent the last two decades moving the industry forward with breakthrough games, head…",
798,AI Engineer,,,"Bellevue, WA","Experience with applying machine learning techniques to problems in simulation engines and 3D data (sensors, physics engines, object detection, etc.).",
799,Data Scientist,,,"Gaithersburg, MD 20877","Experience in Python software development, data science and machine learning.GeneDx is recruiting for a full-time Data Scientist to contribute to a team…",
800,Decision Scientist,,Remote,Remote+1 location•Remote,"Experience finding, cleaning, and manipulating data to build data sets.3+ years of experience in data analysis, data science, decision science, or similar…",
801,Data Science Developer,,Remote,United States+1 location•Remote,The algorithm is focused on matching similar items from a data pool of over 1 million items.Buyers Edge Platform (“BEP”) was born out of the 20-year growth and…,
802,CCB - Applied AI ML - VP,,,"Columbus, OH",Significant experience working with very large scale (structured and unstructured) data.Generate deep insights through the analysis of data and understanding…,
803,Data Scientist,,,"San Jose, CA+1 location",Create the vision for data science solutions incorporating the latest techniques.Knowledge of cloud services (GCP /AWS ) and developing data science projects.,
804,Applied Research Scientist,,Remote,"San Francisco, CA 94104+1 location (Financial District area)•Remote","Grammarly offers a remote-first hybrid working model.Team members can work primarily remotely.Starting in 2022, teams will meet in person a few weeks every…",
805,Mathematician,,,"Las Vegas, NV","Date Posted: Dec 9, 2020.Location: Las Vegas, USA or Moncton, Canada.The Mathematician job role involves evaluating mathematical models for electronic slot…",
806,Junior Data Scientist - Secret Clearance Required,,,"Tysons, VA","Data science methods related to data architecture, data munging, data and feature engineering, and predictive analytics.0–4 years of experience in the field.",
807,Data Science Manager,,,"Pleasanton, CA","You will work closely with other data scientists, engineers and partners across Marketing, Sales and R&D to derive insights from diverse data sources, help the…",
808,Data Analyst,,,"Washington, DC 20006 (Foggy Bottom area)","Experience with data analytics software including Python or R.Responsibilities includes analyzing large and complex data sets, including a thorough aptitude…",
809,"Software Engineer, Machine Learning - Infrastructure",,,"San Francisco, CA","Are analytical and data driven.You possess strong computer science fundamentals: data structures, algorithms, programming languages, distributed systems, and…",
810,Data Scientist-HomeKit,,,"Santa Clara Valley, CA 95014","Foundation in data science, machine learning, and analytics, including statistical data analysis and A/B testing.",
811,Civic Data Analyst,,,"Kirkwood, MO 63122+11 locations","1+ year(s) of experience manipulating data sets, visualizing data, building statistical models, and the general application of data science concepts and tools…",
812,Mathematician,,,"Las Vegas, NV 89119 (Paradise area)","As a mathematician, you will be responsible for creating mathematical models for multiple games and researching and analyzing games from a game/math balance…",
813,AI Engineer,,,"Bellevue, WA","Experience with applying machine learning techniques to problems in simulation engines and 3D data (sensors, physics engines, object detection, etc.).",
814,Data Scientist,,,"Gaithersburg, MD 20877","Experience in Python software development, data science and machine learning.GeneDx is recruiting for a full-time Data Scientist to contribute to a team…",
815,Decision Scientist,,Remote,Remote+1 location•Remote,"Experience finding, cleaning, and manipulating data to build data sets.3+ years of experience in data analysis, data science, decision science, or similar…",
816,Data Science Developer,,Remote,United States+1 location•Remote,"Education Requirements: BA/BS in a technical discipline, or equivalent professional experienceExperience Requirements: 5+ years backend software development…",
817,CCB - Applied AI ML - VP,,,"Columbus, OH",Significant experience working with very large scale (structured and unstructured) data.Generate deep insights through the analysis of data and understanding…,
